PassengerId,Title,Name,Sex,Age,FamilyStatus,Class,Fare,Survived,SurvivedBinary
1,Mr,"Braund, Mr. Owen Harris",male,22.0,with_family,3,7.25,no,0
2,Mrs,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0,with_family,1,71.2833,yes,1
3,Miss,"Heikkinen, Miss. Laina",female,26.0,single,3,7.925,yes,1
4,Mrs,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,with_family,1,53.1,yes,1
5,Mr,"Allen, Mr. William Henry",male,35.0,single,3,8.05,no,0
6,Mr,"Moran, Mr. James",male,29.699118,single,3,8.4583,no,0
7,Mr,"McCarthy, Mr. Timothy J",male,54.0,single,1,51.8625,no,0
8,Mr,"Palsson, Master. Gosta Leonard",male,2.0,with_family,3,21.075,no,0
9,Mrs,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,with_family,3,11.1333,yes,1
10,Mrs,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.0,with_family,2,30.0708,yes,1
11,Miss,"Sandstrom, Miss. Marguerite Rut",female,4.0,with_family,3,16.7,yes,1
12,Miss,"Bonnell, Miss. Elizabeth",female,58.0,single,1,26.55,yes,1
13,Mr,"Saundercock, Mr. William Henry",male,20.0,single,3,8.05,no,0
14,Mr,"Andersson, Mr. Anders Johan",male,39.0,with_family,3,31.275,no,0
15,Miss,"Vestrom, Miss. Hulda Amanda Adolfina",female,14.0,single,3,7.8542,no,0
16,Mrs,"Hewlett, Mrs. (Mary D Kingcome) ",female,55.0,single,2,16.0,yes,1
17,Mr,"Rice, Master. Eugene",male,2.0,with_family,3,29.125,no,0
18,Mr,"Williams, Mr. Charles Eugene",male,29.699118,single,2,13.0,yes,1
19,Mrs,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31.0,with_family,3,18.0,no,0
20,Mrs,"Masselmani, Mrs. Fatima",female,29.699118,single,3,7.225,yes,1
21,Mr,"Fynney, Mr. Joseph J",male,35.0,single,2,26.0,no,0
22,Mr,"Beesley, Mr. Lawrence",male,34.0,single,2,13.0,yes,1
23,Miss,"McGowan, Miss. Anna ""Annie""",female,15.0,single,3,8.0292,yes,1
24,Mr,"Sloper, Mr. William Thompson",male,28.0,single,1,35.5,yes,1
25,Miss,"Palsson, Miss. Torborg Danira",female,8.0,with_family,3,21.075,no,0
26,Mrs,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0,with_family,3,31.3875,yes,1
27,Mr,"Emir, Mr. Farred Chehab",male,29.699118,single,3,7.225,no,0
28,Mr,"Fortune, Mr. Charles Alexander",male,19.0,with_family,1,263.0,no,0
29,Miss,"O'Dwyer, Miss. Ellen ""Nellie""",female,29.699118,single,3,7.8792,yes,1
30,Mr,"Todoroff, Mr. Lalio",male,29.699118,single,3,7.8958,no,0
31,Mr,"Uruchurtu, Don. Manuel E",male,40.0,single,1,27.7208,no,0
32,Mrs,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,29.699118,with_family,1,146.5208,yes,1
33,Miss,"Glynn, Miss. Mary Agatha",female,29.699118,single,3,7.75,yes,1
34,Mr,"Wheadon, Mr. Edward H",male,66.0,single,2,10.5,no,0
35,Mr,"Meyer, Mr. Edgar Joseph",male,28.0,with_family,1,82.1708,no,0
36,Mr,"Holverson, Mr. Alexander Oskar",male,42.0,with_family,1,52.0,no,0
37,Mr,"Mamee, Mr. Hanna",male,29.699118,single,3,7.2292,yes,1
38,Mr,"Cann, Mr. Ernest Charles",male,21.0,single,3,8.05,no,0
39,Miss,"Vander Planke, Miss. Augusta Maria",female,18.0,with_family,3,18.0,no,0
40,Miss,"Nicola-Yarred, Miss. Jamila",female,14.0,with_family,3,11.2417,yes,1
41,Mrs,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40.0,with_family,3,9.475,no,0
42,Mrs,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27.0,with_family,2,21.0,no,0
43,Mr,"Kraeff, Mr. Theodor",male,29.699118,single,3,7.8958,no,0
44,Miss,"Laroche, Miss. Simonne Marie Anne Andree",female,3.0,with_family,2,41.5792,yes,1
45,Miss,"Devaney, Miss. Margaret Delia",female,19.0,single,3,7.8792,yes,1
46,Mr,"Rogers, Mr. William John",male,29.699118,single,3,8.05,no,0
47,Mr,"Lennon, Mr. Denis",male,29.699118,with_family,3,15.5,no,0
48,Miss,"O'Driscoll, Miss. Bridget",female,29.699118,single,3,7.75,yes,1
49,Mr,"Samaan, Mr. Youssef",male,29.699118,with_family,3,21.6792,no,0
50,Mrs,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18.0,with_family,3,17.8,no,0
51,Mr,"Panula, Master. Juha Niilo",male,7.0,with_family,3,39.6875,no,0
52,Mr,"Nosworthy, Mr. Richard Cater",male,21.0,single,3,7.8,no,0
53,Mrs,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0,with_family,1,76.7292,yes,1
54,Mrs,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29.0,with_family,2,26.0,yes,1
55,Mr,"Ostby, Mr. Engelhart Cornelius",male,65.0,with_family,1,61.9792,no,0
56,Mr,"Woolner, Mr. Hugh",male,29.699118,single,1,35.5,yes,1
57,Miss,"Rugg, Miss. Emily",female,21.0,single,2,10.5,yes,1
58,Mr,"Novel, Mr. Mansouer",male,28.5,single,3,7.2292,no,0
59,Miss,"West, Miss. Constance Mirium",female,5.0,with_family,2,27.75,yes,1
60,Mr,"Goodwin, Master. William Frederick",male,11.0,with_family,3,46.9,no,0
61,Mr,"Sirayanian, Mr. Orsen",male,22.0,single,3,7.2292,no,0
63,Mr,"Harris, Mr. Henry Birkhardt",male,45.0,with_family,1,83.475,no,0
64,Mr,"Skoog, Master. Harald",male,4.0,with_family,3,27.9,no,0
65,Mr,"Stewart, Mr. Albert A",male,29.699118,single,1,27.7208,no,0
66,Mr,"Moubarek, Master. Gerios",male,29.699118,with_family,3,15.2458,yes,1
67,Mrs,"Nye, Mrs. (Elizabeth Ramell)",female,29.0,single,2,10.5,yes,1
68,Mr,"Crease, Mr. Ernest James",male,19.0,single,3,8.1583,no,0
69,Miss,"Andersson, Miss. Erna Alexandra",female,17.0,with_family,3,7.925,yes,1
70,Mr,"Kink, Mr. Vincenz",male,26.0,with_family,3,8.6625,no,0
71,Mr,"Jenkin, Mr. Stephen Curnow",male,32.0,single,2,10.5,no,0
72,Miss,"Goodwin, Miss. Lillian Amy",female,16.0,with_family,3,46.9,no,0
73,Mr,"Hood, Mr. Ambrose Jr",male,21.0,single,2,73.5,no,0
74,Mr,"Chronopoulos, Mr. Apostolos",male,26.0,with_family,3,14.4542,no,0
75,Mr,"Bing, Mr. Lee",male,32.0,single,3,56.4958,yes,1
76,Mr,"Moen, Mr. Sigurd Hansen",male,25.0,single,3,7.65,no,0
77,Mr,"Staneff, Mr. Ivan",male,29.699118,single,3,7.8958,no,0
78,Mr,"Moutal, Mr. Rahamin Haim",male,29.699118,single,3,8.05,no,0
79,Mr,"Caldwell, Master. Alden Gates",male,0.83,with_family,2,29.0,yes,1
80,Miss,"Dowdell, Miss. Elizabeth",female,30.0,single,3,12.475,yes,1
81,Mr,"Waelens, Mr. Achille",male,22.0,single,3,9.0,no,0
82,Mr,"Sheerlinck, Mr. Jan Baptist",male,29.0,single,3,9.5,yes,1
83,Miss,"McDermott, Miss. Brigdet Delia",female,29.699118,single,3,7.7875,yes,1
84,Mr,"Carrau, Mr. Francisco M",male,28.0,single,1,47.1,no,0
85,Miss,"Ilett, Miss. Bertha",female,17.0,single,2,10.5,yes,1
86,Mrs,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33.0,with_family,3,15.85,yes,1
87,Mr,"Ford, Mr. William Neal",male,16.0,with_family,3,34.375,no,0
88,Mr,"Slocovski, Mr. Selman Francis",male,29.699118,single,3,8.05,no,0
89,Miss,"Fortune, Miss. Mabel Helen",female,23.0,with_family,1,263.0,yes,1
