Title,Sex,Age,FamilyStatus,Class,Fare,SurvivedBinary
Mr,male,22.0,with_family,3,7.25,0
Mrs,female,38.0,with_family,1,71.2833,1
Miss,female,26.0,single,3,7.925,1
Mrs,female,35.0,with_family,1,53.1,1
Mr,male,35.0,single,3,8.05,0
Mr,male,29.699118,single,3,8.4583,0
Mr,male,54.0,single,1,51.8625,0
Mr,male,2.0,with_family,3,21.075,0
Mrs,female,27.0,with_family,3,11.1333,1
Mrs,female,14.0,with_family,2,30.0708,1
Miss,female,4.0,with_family,3,16.7,1
Miss,female,58.0,single,1,26.55,1
Mr,male,20.0,single,3,8.05,0
Mr,male,39.0,with_family,3,31.275,0
Miss,female,14.0,single,3,7.8542,0
Mrs,female,55.0,single,2,16.0,1
Mr,male,2.0,with_family,3,29.125,0
Mr,male,29.699118,single,2,13.0,1
Mrs,female,31.0,with_family,3,18.0,0
Mrs,female,29.699118,single,3,7.225,1
Mr,male,35.0,single,2,26.0,0
Mr,male,34.0,single,2,13.0,1
Miss,female,15.0,single,3,8.0292,1
Mr,male,28.0,single,1,35.5,1
Miss,female,8.0,with_family,3,21.075,0
Mrs,female,38.0,with_family,3,31.3875,1
Mr,male,29.699118,single,3,7.225,0
Mr,male,19.0,with_family,1,263.0,0
Miss,female,29.699118,single,3,7.8792,1
Mr,male,29.699118,single,3,7.8958,0
Mr,male,40.0,single,1,27.7208,0
Mrs,female,29.699118,with_family,1,146.5208,1
Miss,female,29.699118,single,3,7.75,1
Mr,male,66.0,single,2,10.5,0
Mr,male,28.0,with_family,1,82.1708,0
Mr,male,42.0,with_family,1,52.0,0
Mr,male,29.699118,single,3,7.2292,1
Mr,male,21.0,single,3,8.05,0
Miss,female,18.0,with_family,3,18.0,0
Miss,female,14.0,with_family,3,11.2417,1
Mrs,female,40.0,with_family,3,9.475,0
Mrs,female,27.0,with_family,2,21.0,0
Mr,male,29.699118,single,3,7.8958,0
Miss,female,3.0,with_family,2,41.5792,1
Miss,female,19.0,single,3,7.8792,1
Mr,male,29.699118,single,3,8.05,0
Mr,male,29.699118,with_family,3,15.5,0
Miss,female,29.699118,single,3,7.75,1
Mr,male,29.699118,with_family,3,21.6792,0
Mrs,female,18.0,with_family,3,17.8,0
Mr,male,7.0,with_family,3,39.6875,0
Mr,male,21.0,single,3,7.8,0
Mrs,female,49.0,with_family,1,76.7292,1
Mrs,female,29.0,with_family,2,26.0,1
Mr,male,65.0,with_family,1,61.9792,0
Mr,male,29.699118,single,1,35.5,1
Miss,female,21.0,single,2,10.5,1
Mr,male,28.5,single,3,7.2292,0
Miss,female,5.0,with_family,2,27.75,1
Mr,male,11.0,with_family,3,46.9,0
Mr,male,22.0,single,3,7.2292,0
Mr,male,45.0,with_family,1,83.475,0
Mr,male,4.0,with_family,3,27.9,0
Mr,male,29.699118,single,1,27.7208,0
Mr,male,29.699118,with_family,3,15.2458,1
Mrs,female,29.0,single,2,10.5,1
Mr,male,19.0,single,3,8.1583,0
Miss,female,17.0,with_family,3,7.925,1
Mr,male,26.0,with_family,3,8.6625,0
Mr,male,32.0,single,2,10.5,0
Miss,female,16.0,with_family,3,46.9,0
Mr,male,21.0,single,2,73.5,0
Mr,male,26.0,with_family,3,14.4542,0
Mr,male,32.0,single,3,56.4958,1
Mr,male,25.0,single,3,7.65,0
Mr,male,29.699118,single,3,7.8958,0
Mr,male,29.699118,single,3,8.05,0
Mr,male,0.83,with_family,2,29.0,1
Miss,female,30.0,single,3,12.475,1
Mr,male,22.0,single,3,9.0,0
Mr,male,29.0,single,3,9.5,1
Miss,female,29.699118,single,3,7.7875,1
Mr,male,28.0,single,1,47.1,0
Miss,female,17.0,single,2,10.5,1
Mrs,female,33.0,with_family,3,15.85,1
Mr,male,16.0,with_family,3,34.375,0
Mr,male,29.699118,single,3,8.05,0
Miss,female,23.0,with_family,1,263.0,1
Mr,male,24.0,single,3,8.05,0
Mr,male,29.0,single,3,8.05,0
Mr,male,20.0,single,3,7.8542,0
Mr,male,46.0,with_family,1,61.175,0
Mr,male,26.0,with_family,3,20.575,0
Mr,male,59.0,single,3,7.25,0
Mr,male,29.699118,single,3,8.05,0
Mr,male,71.0,single,1,34.6542,0
Mr,male,23.0,with_family,1,63.3583,1
Mrs,female,34.0,with_family,2,23.0,1
Mr,male,34.0,with_family,2,26.0,0
Miss,female,28.0,single,3,7.8958,0
Mr,male,29.699118,single,3,7.8958,0
Mr,male,21.0,with_family,1,77.2875,0
Mr,male,33.0,single,3,8.6542,0
Mr,male,37.0,with_family,3,7.925,0
Mr,male,28.0,single,3,7.8958,0
Miss,female,21.0,single,3,7.65,1
Mr,male,29.699118,single,3,7.775,1
Mr,male,38.0,single,3,7.8958,0
Miss,female,29.699118,with_family,3,24.15,1
Mr,male,47.0,single,1,52.0,0
Miss,female,14.5,with_family,3,14.4542,0
Mr,male,22.0,single,3,8.05,0
Miss,female,20.0,with_family,3,9.825,0
Miss,female,17.0,single,3,14.4583,0
Mr,male,21.0,single,3,7.925,0
Mr,male,70.5,single,3,7.75,0
Mr,male,29.0,with_family,2,21.0,0
Mr,male,24.0,with_family,1,247.5208,0
Miss,female,2.0,with_family,3,31.275,0
Mr,male,21.0,with_family,2,73.5,0
Mr,male,29.699118,single,3,8.05,0
Mr,male,32.5,with_family,2,30.0708,0
